"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"A_C1,A_C2,A_C9,A_C10","22uF","Capacitor_SMD:CP_Elec_6.3x5.8","","4","","",""
"A_C3,A_C8","680pF","Capacitor_SMD:C_0805_2012Metric","~","2","","",""
"A_C4,A_C7","330pF","Capacitor_SMD:C_0805_2012Metric","~","2","","",""
"A_C5","100nF","Capacitor_SMD:C_0805_2012Metric","~","1","","",""
"A_C6","4.7uF","Capacitor_SMD:CP_Elec_6.3x5.8","","1","","",""
"A_D1,A_D2,A_D3,A_D4,A_D5,A_D6,A_D7,A_D8,A_D9,A_D10","1N4148","Diode_SMD:D_SOD-123","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","10","","",""
"A_J1","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~","1","","",""
"A_J2,A_J5,A_J8,A_J9,A_J10,A_J11","Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","6","","",""
"A_J3","Conn_01x40_Socket","ADS1263_socket:MODULE_RASPBERRY_PI_ZERO_2_W","~","1","","",""
"A_J4","Conn_01x02","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","~","1","","",""
"A_J15,A_J16","Conn_01x03_Pin","Connector:FanPinHeader_1x03_P2.54mm_Vertical","~","2","","",""
"A_R1,A_R3,A_R9,A_R12","10k","Resistor_SMD:R_0805_2012Metric","~","4","","",""
"A_R2,A_R11","40k","Resistor_SMD:R_0805_2012Metric","~","2","","",""
"A_R4,A_R10","80k","Resistor_SMD:R_0805_2012Metric","~","2","","",""
"A_R5","910k","Resistor_SMD:R_0805_2012Metric","~","1","","",""
"A_R6","330k","Resistor_SMD:R_0805_2012Metric","~","1","","",""
"A_R7,A_R14","1k","Resistor_SMD:R_0805_2012Metric","~","2","","",""
"A_R8,A_R13","100","Resistor_SMD:R_0805_2012Metric","~","2","","",""
"A_U1,A_U2,U1,U2","LMV358","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/lmv358-n-q1.pdf","4","","",""
